pl_name,pl_rade,pl_orbper,pl_eqt
HATS-63 b,13.529263,3.0566527,1398.3
HATS-63 b,12.51826934,3.05662771116,1265.78
HATS-64 b,18.819911,4.908897,1793.0
HATS-64 b,15.25476917,4.90969002618,1679.98
HATS-65 b,16.824709,3.105161,1634.0
HATS-66 b,15.815899,3.1414391,1998.0
HATS-66 b,13.07086402,3.14138245313,1762.2
HATS-67 b,18.887165,1.6091788,2193.0
HATS-67 b,16.7675,1.6091845,1587.0
HATS-68 b,13.809488,3.5862202,1741.0
HATS-68 b,16.47476108,3.58629619986,1658.39
HATS-69 b,10.09261891,2.22505138138,1188.0
HATS-69 b,10.592505,2.2252577,1295.7
HATS-7 b,5.42203496,3.18531859906,972.76
HATS-7 b,6.310667,3.185315,1084.0
HATS-70 b,15.513256,1.8882378,2730.0
HATS-70 b,14.47764261,1.88823101642,2800.5
HATS-71 b,11.478016,3.7955202,586.8
HATS-71 b,10.32616195,3.79551778381,525.94
HATS-72 b,9.49027,7.327945,697.0
HATS-72 b,8.0973816,7.3279474,739.3
HATS-74 A b,11.56766808,1.73185606,895.1
HATS-74 A b,12.02994928,1.73185293965,778.12
HATS-75 b,9.90873894,2.7886556,772.3
HATS-75 b,9.66512601,2.78865403243,684.72
HATS-76 b,11.75690439,1.94163656751,857.33
HATS-76 b,12.09449018,1.9416423,939.8
HATS-77 b,13.90112935,3.08762973344,798.04
HATS-77 b,13.05846252,3.0876262,828.3
HATS-8 b,9.785457,3.583893,1324.0
HATS-9 b,11.937585,1.9153073,1823.0
HATS-9 b,13.85,1.915291,1746.0
HD 101581 b,0.956,4.46569,834.0
HD 101581 b,0.97945829,4.46606796561,740.94
HD 101581 c,0.99,6.20401,747.0
HD 101581 c,1.02145994,6.20316078755,664.08
HD 106315 b,2.4,9.55385,1146.0
HD 106315 b,2.32,9.55804,1046.0
HD 106315 b,2.44,9.55237,1153.0
HD 106315 c,4.4,21.058,874.0
HD 106315 c,4.35,21.05704,886.0
HD 106315 c,4.31,21.05788,804.0
HD 108236 b,1.586,3.79523,1099.0
HD 108236 b,1.55313499,3.79588997084,1072.07
HD 108236 c,2.05674802,6.20362188553,910.15
HD 108236 c,2.068,6.2037,932.0
HD 108236 d,2.62316413,14.17589472545,691.0
HD 108236 d,2.72,14.17555,708.0
HD 108236 e,3.12,19.5917,636.0
HD 108236 e,3.00264281,19.59015780924,620.36
HD 109833 b,2.16591,9.188506,786.0
HD 109833 c,2.61368482,13.90283906518,756.7
HD 110067 b,2.2,9.113678,800.0
HD 110067 c,2.388,13.673694,699.0
HD 110067 d,2.852,20.519617,602.0
HD 110067 e,1.94,30.793091,533.0
HD 110067 f,2.601,41.05854,489.0
HD 110067 g,2.607,54.76992,440.0
HD 110082 b,3.05380568,10.1826982735,957.2
HD 110113 b,2.15331,2.5404679,1391.0
HD 110113 b,2.05,2.541,1371.0
HD 110113 c,2.11384817,6.7418795628,951.65
HD 118203 b,13.1383,6.1349783,1509.0
HD 118203 b,12.55405838,6.134989,1371.0
HD 118203 b,12.06086323,6.1349847,1360.0
HD 118203 b,12.778238,6.1349779,1361.0
HD 118203 b,12.73340208,6.134985,1494.0
HD 135694 b,2.5320132,15.92346,750.83
HD 135694 b,2.18203,15.9234883,735.0
HD 135694 b,2.51,15.92346,815.0
HD 136352 b,1.664,11.57797,905.0
HD 136352 b,1.54221286,11.57783620835,806.33
HD 136352 b,1.482,11.57779,911.0
HD 136352 c,2.70502784,27.59207175355,603.66
HD 136352 c,2.608,27.5909,682.0
HD 136352 c,2.916,27.59221,677.0
HD 136352 d,2.562,107.245,431.0
HD 137496 b,1.31,1.62116,2130.0
HD 1397 b,11.466807,11.5366,1519.0
HD 1397 b,11.500434,11.53533,1228.3
HD 149026 b,8.33267,2.8758831,1602.0
HD 149026 b,6.83749,2.8758911,1626.0
HD 149026 b,7.330686,2.87598,1634.0
HD 152843 b,3.20755401,11.62075439967,1003.11
HD 15337 b,1.699,4.75642,1006.0
HD 15337 b,1.64,4.75615,1001.0
HD 15337 b,1.72541702,4.75597367929,909.53
HD 15337 c,2.522,17.1784,656.1
HD 15337 c,2.19540344,17.18072135901,592.77
HD 15337 c,2.39,17.1784,642.0
